生まれ年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,閏年(0 or 1)
1910年,62,93,121,152,182,213,243,14,45,75,106,136,0
1911年,167,198,226,257,27,58,88,119,150,180,211,241,0
1912年,12,43,71,102,132,163,193,224,255,25,56,86,1
1913年,117,148,176,207,237,8,38,69,100,130,161,191,0
1914年,222,253,21,52,82,113,143,174,205,235,6,36,0
1915年,67,98,126,157,187,218,248,19,50,80,111,141,0
1916年,172,203,231,2,32,63,93,124,155,185,216,246,1
1917年,17,48,76,107,137,168,198,229,0,30,61,91,0
1918年,122,153,181,212,242,13,43,74,105,135,166,196,0
1919年,227,258,26,57,87,118,148,179,210,240,11,41,0
1920年,72,103,131,162,192,223,253,24,55,85,116,146,1
1921年,177,208,236,7,37,68,98,129,160,190,221,251,0
1922年,22,53,81,112,142,173,203,234,5,35,66,96,0
1923年,127,158,186,217,247,18,48,79,110,140,171,201,0
1924年,232,3,31,62,92,123,153,184,215,245,16,46,1
1925年,77,108,136,167,197,228,258,29,60,90,121,151,0
1926年,182,213,241,12,42,73,103,134,165,195,226,256,0
1927年,27,58,86,117,147,174,208,239,10,40,71,101,0
1928年,132,163,191,222,252,23,53,84,115,145,176,206,1
1929年,237,8,36,67,97,128,158,189,220,250,21,51,0
1930年,82,113,141,172,202,233,3,34,65,95,126,156,0
1931年,187,218,246,17,47,78,108,139,170,200,231,1,0
1932年,32,63,91,122,152,183,213,244,15,45,76,106,1
1933年,137,168,196,227,257,28,58,89,120,150,181,211,0
1934年,242,13,41,72,102,133,163,194,225,255,26,56,0
1935年,87,118,146,177,207,238,8,39,70,100,131,161,0
1936年,192,223,251,22,52,83,113,144,175,205,236,6,1
1937年,37,68,96,127,157,188,218,249,20,50,81,111,0
1938年,142,173,201,232,2,33,63,94,125,155,186,216,0
1939年,247,18,46,77,107,138,168,199,230,0,31,61,0
1940年,92,123,151,182,212,243,13,44,75,105,136,166,1
1941年,197,228,256,27,57,88,118,149,180,210,241,11,0
1942年,42,73,101,132,162,193,223,254,25,55,86,116,0
1943年,147,178,206,237,7,38,68,99,130,160,191,221,0
1944年,252,23,51,82,112,143,173,204,235,5,36,66,1
1945年,97,128,156,187,217,248,18,49,80,110,141,171,0
1946年,202,233,1,32,62,93,123,154,185,215,246,16,0
1947年,47,78,106,137,167,198,228,259,30,60,91,121,0
1948年,152,183,211,242,12,43,73,104,135,165,196,226,1
1949年,257,28,56,87,117,148,178,209,240,10,41,71,0
1950年,102,133,161,192,222,253,23,54,85,115,146,176,0
1951年,207,238,6,37,67,98,128,159,190,220,251,21,0
1952年,52,83,111,142,172,203,233,4,35,65,96,126,1
1953年,157,188,216,247,17,48,78,109,140,170,201,231,0
1954年,2,33,61,92,122,153,183,214,245,15,46,76,0
1955年,107,138,166,197,227,258,28,59,90,120,151,181,0
1956年,212,243,11,42,72,103,133,164,195,225,256,26,1
1957年,57,88,116,147,177,208,238,9,40,70,101,131,0
1958年,162,193,221,252,22,53,83,114,145,175,206,236,0
1959年,7,38,66,97,127,158,188,219,250,20,51,81,0
1960年,112,143,171,202,232,3,33,64,95,125,156,186,1
1961年,217,248,16,47,77,108,138,169,200,230,1,31,0
1962年,62,93,121,152,182,213,243,14,45,75,106,136,0
